concept;term;pinyin;translation;category,
virtue;德行;déxíng;moral conduct / virtuous behavior;Confucian,
virtue;德性;déxìng;moral nature / virtuous disposition;Confucian,
virtue;道德;dàodé;morality / ethics / virtue;Confucian,
virtue;明德;míngdé;luminous virtue / illustrious virtue;Confucian,
virtue;至德;zhìdé;supreme virtue;Confucian,
virtue;盛德;shèngdé;abundant virtue / flourishing virtue;Confucian,
virtue;立德;lìdé;to establish virtue;Confucian,
virtue;修德;xiūdé;to cultivate virtue;Confucian,
virtue;积德;jīdé;to accumulate virtue;Confucian,
virtue;厚德;hòudé;profound virtue / abundant virtue;Confucian,
virtue;德政;dézhèng;virtuous governance / rule by virtue;Cross-Tradition Terms,
virtue;德化;déhuà;transformation through virtue;Confucian,
virtue;德风;défēng;moral influence (like wind);Confucian,
virtue;德泽;dézé;moral beneficence / virtuous grace;Confucian,
virtue;功德;gōngdé;meritorious virtue / achievements and virtue;Confucian,
virtue;美德;měidé;beautiful virtue / fine virtue;Confucian,
virtue;仁德;réndé;benevolent virtue / virtue of ren;Cross-Tradition Terms,
virtue;圣德;shèngdé;sagely virtue;Confucian,
virtue;德才兼备;décái jiānbèi;possessing both virtue and talent;Confucian,
virtue;德高望重;dégāo wàngzhòng;of high virtue and prestige;Cross-Tradition Terms,
virtue;以德服人;yǐ dé fú rén;to convince people through virtue;Confucian,
virtue;德不配位;dé bù pèi wèi;virtue not matching position;Confucian,
humaneness;仁爱;rén'ài;benevolent love / humane love;Confucian,
humaneness;仁心;rénxīn;benevolent heart / humane mind;Confucian,
humaneness;仁政;rénzhèng;benevolent governance;Confucian,
humaneness;仁义;rényì;benevolence and righteousness;Confucian,
humaneness;仁者;rénzhě;the benevolent person;Confucian,
humaneness;仁人;rénrén;humane person;Confucian,
humaneness;仁道;réndào;the way of benevolence;Confucian,
humaneness;行仁;xíngrén;to practice benevolence;Confucian,
humaneness;求仁;qiúrén;to seek benevolence;Confucian,
humaneness;至仁;zhìrén;supreme benevolence;Confucian,
humaneness;不仁;bùrén;lacking benevolence / inhuman;Confucian,
humaneness;杀身成仁;shāshēn chéngrén;to sacrifice life to achieve benevolence;Confucian,
humaneness;仁以为己任;rén yǐwéi jǐ rèn;taking benevolence as personal responsibility;Confucian,
ritual;礼仪;lǐyí;rituals and etiquette;Confucian,
ritual;礼教;lǐjiào;ritual teachings / Confucian code;Confucian,
ritual;礼制;lǐzhì;ritual system / propriety system;Confucian,
ritual;礼法;lǐfǎ;ritual law / rites and laws;Confucian,
ritual;礼节;lǐjié;ritual propriety / etiquette;Confucian,
ritual;行礼;xínglǐ;to perform rituals;Confucian,
ritual;守礼;shǒulǐ;to observe propriety;Confucian,
ritual;失礼;shīlǐ;to be impolite / breach of propriety;Confucian,
ritual;礼乐;lǐyuè;rituals and music;Confucian,
ritual;礼义;lǐyì;ritual and righteousness;Confucian,
ritual;非礼;fēilǐ;improper / against propriety;Confucian,
ritual;克己复礼;kèjǐ fùlǐ;to restrain self and return to propriety;Confucian,
ritual;礼之用和为贵;lǐ zhī yòng hé wéi guì;the application of ritual values harmony;Confucian,
ritual;礼尚往来;lǐ shàng wǎnglái;propriety demands reciprocity;Confucian,
righteousness;正义;zhèngyì;justice / righteousness;Cross-Tradition Terms,
righteousness;道义;dàoyì;moral righteousness / ethical duty;Confucian,
righteousness;信义;xìnyì;trustworthiness and righteousness;Confucian,
righteousness;义气;yìqì;righteous spirit / loyalty among friends;Confucian,
righteousness;义务;yìwù;duty / obligation;Confucian,
righteousness;义理;yìlǐ;moral principle / righteous reasoning;Confucian,
righteousness;义举;yìjǔ;righteous act;Confucian,
righteousness;义行;yìxíng;righteous conduct;Confucian,
righteousness;见利思义;jiàn lì sī yì;see profit / think of righteousness;Confucian,
righteousness;义不容辞;yì bù róng cí;duty-bound / obligatory;Confucian,
righteousness;舍生取义;shě shēng qǔ yì;sacrifice life for righteousness;Confucian,
righteousness;义之所在;yì zhī suǒzài;where righteousness lies;Confucian,
filial piety;孝道;xiàodào;the way of filial piety;Confucian,
filial piety;孝顺;xiàoshùn;filial obedience;Confucian,
filial piety;孝心;xiàoxīn;filial heart / filial feelings;Confucian,
filial piety;孝行;xiàoxíng;filial conduct;Confucian,
filial piety;尽孝;jìnxiào;to fulfill filial duties;Confucian,
filial piety;孝子;xiàozǐ;filial son;Confucian,
filial piety;孝女;xiàonǚ;filial daughter;Confucian,
filial piety;不孝;bùxiào;unfilial;Confucian,
filial piety;忠孝;zhōng xiào;loyalty and filial piety;Confucian,
filial piety;孝悌;xiàotì;filial piety and fraternal respect;Confucian,
filial piety;孝经;xiàojīng;Classic of Filial Piety;Confucian,
filial piety;孝养;xiàoyǎng;to support parents filially;Confucian,
filial piety;孝廉;xiàolián;filial and incorrupt (historical term);Confucian,
filial piety;百善孝为先;bǎi shàn xiào wéi xiān;of all virtues filial piety is first;Confucian,
trustworthiness;诚信;chéngxìn;integrity and trustworthiness;Confucian,
trustworthiness;信用;xìnyòng;credit / trustworthiness;Confucian,
trustworthiness;忠信;zhōngxìn;loyalty and trustworthiness;Confucian,
trustworthiness;信实;xìnshí;trustworthy and honest;Confucian,
trustworthiness;守信;shǒuxìn;to keep promises / be trustworthy;Confucian,
trustworthiness;失信;shīxìn;to break trust / lose credibility;Confucian,
trustworthiness;信守;xìnshǒu;to abide by / keep (promises);Confucian,
trustworthiness;可信;kěxìn;credible / trustworthy;Confucian,
trustworthiness;取信于民;qǔxìn yú mín;to win people's trust;Confucian,
trustworthiness;言而有信;yán ér yǒu xìn;to keep one's word;Confucian,
trustworthiness;信誓旦旦;xìnshì dàndàn;to vow solemnly;Confucian,
trustworthiness;民无信不立;mín wú xìn bù lì;without people's trust / the state cannot stand;Confucian,
fraternal respect;弟道;dìdào;the way of fraternal respect;Confucian,
fraternal respect;悌道;tìdào;the way of fraternal respect;Confucian,
fraternal respect;友悌;yǒutì;brotherly affection and respect;Confucian,
fraternal respect;悌顺;tìshùn;fraternal respect and obedience;Confucian,
fraternal respect;悌友;tìyǒu;fraternal respect and friendship;Confucian,
fraternal respect;悌行;tìxíng;fraternal conduct;Confucian,
fraternal respect;尽悌;jìntì;to fulfill fraternal duties;Confucian,
fraternal respect;不悌;bùtì;lacking fraternal respect;Confucian,
fraternal respect;入则孝，出则悌;rù zé xiào, chū zé tì;at home be filial / abroad be fraternal;Confucian
fraternal respect;孝悌忠信;xiàotì zhōngxìn;filial piety / fraternal respect / loyalty / trustworthiness;Confucian,
fraternal respect;孝悌也者，其为仁之本与;xiàotì yě zhě, qí wéi rén zhī běn yú;filial piety and fraternal respect are the root of benevolence;Confucian
fraternal respect;悌于长;tì yú zhǎng;to show fraternal respect to elders;Confucian,
fraternal respect;兄弟和睦;xiōngdì hémù;harmony between brothers;Confucian,
gentleman;君子;jūnzǐ;gentleman / exemplary person;Confucian,
gentleman;君子之道;jūnzǐ zhī dào;the way of the gentleman;Confucian,
gentleman;君子之德;jūnzǐ zhī dé;virtue of the gentleman;Confucian,
gentleman;君子人格;jūnzǐ réngé;gentlemanly character;Confucian,
gentleman;君子风范;jūnzǐ fēngfàn;demeanor of a gentleman;Confucian,
gentleman;君子协定;jūnzǐ xiédìng;gentleman's agreement;Confucian,
gentleman;君子之交;jūnzǐ zhī jiāo;friendship between gentlemen;Confucian,
gentleman;君子不器;jūnzǐ bù qì;gentleman is not a utensil (versatile);Confucian,
gentleman;君子坦荡荡;jūnzǐ tǎndàngdàng;gentleman is open and at ease;Confucian,
gentleman;君子喻于义;jūnzǐ yù yú yì;gentleman understands righteousness;Confucian,
gentleman;君子求诸己;jūnzǐ qiú zhū jǐ;gentleman seeks from himself;Confucian,
gentleman;君子成人之美;jūnzǐ chéng rén zhī měi;gentleman helps others achieve good;Confucian,
gentleman;君子固穷;jūnzǐ gù qióng;gentleman remains steadfast in poverty;Confucian,
gentleman;君子周而不比;jūnzǐ zhōu ér bù bǐ;gentleman is inclusive / not partisan;Confucian,
gentleman;君子和而不同;jūnzǐ hé ér bù tóng;gentleman is harmonious but not uniform;Confucian,
petty person;小人;xiǎorén;petty person / small-minded person;Confucian,
petty person;小人之心;xiǎorén zhī xīn;mind of a petty person;Confucian,
petty person;小人得志;xiǎorén dézhì;petty person attains success (derogatory);Confucian,
petty person;小人道长;xiǎorén dào zhǎng;way of petty person prospers;Confucian,
petty person;小人穷斯滥矣;xiǎorén qióng sī làn yǐ;petty person when poor becomes reckless;Confucian,
petty person;小人喻于利;xiǎorén yù yú lì;petty person understands profit;Confucian,
petty person;小人求诸人;xiǎorén qiú zhū rén;petty person seeks from others;Confucian,
petty person;小人比而不周;xiǎorén bǐ ér bù zhōu;petty person is partisan / not inclusive;Confucian,
petty person;小人同而不和;xiǎorén tóng ér bù hé;petty person is uniform but not harmonious;Confucian,
petty person;小人常戚戚;xiǎorén cháng qīqī;petty person is always anxious;Confucian,
petty person;小人难养;xiǎorén nán yǎng;petty person is difficult to deal with;Confucian,
petty person;唯女子与小人为难养也;wéi nǚzǐ yǔ xiǎorén wéi nán yǎng yě;only women and petty persons are difficult to deal with (controversial);Confucian,
petty person;小人怀惠;xiǎorén huái huì;petty person thinks of favors;Confucian,
the way;大道;dàdào;great Way / great path;Cross-Tradition Terms,
the way;天道;tiāndào;Way of Heaven / heavenly principle;Cross-Tradition Terms,
the way;人道;réndào;Way of Humanity / human principle;Cross-Tradition Terms,
the way;王道;wángdào;Kingly Way / way of benevolent rule;Confucian,
the way;圣道;shèngdào;Way of the Sage;Cross-Tradition Terms,
the way;道统;dàotǒng;transmission of the Way / orthodox tradition;Confucian,
the way;道学;dàoxué;study of the Way / Neo-Confucianism;Confucian,
the way;修道;xiūdào;to cultivate the Way;Cross-Tradition Terms,
the way;传道;chuándào;to transmit the Way;Cross-Tradition Terms,
the way;弘道;hóngdào;to propagate the Way;Confucian,
the way;得道;dédào;to attain the Way;Cross-Tradition Terms,
the way;道不行;dào bù xíng;the Way does not prevail;Confucian,
the way;道之以德;dào zhī yǐ dé;to guide with virtue;Confucian,
the way;朝闻道，夕死可矣;zhāo wén dào, xī sǐ kě yǐ;hearing the Way in morning / die content in evening;Confucian
loyalty;忠心;zhōngxīn;loyal heart / loyalty;Confucian,
loyalty;忠臣;zhōngchén;loyal minister;Confucian,
loyalty;忠君;zhōngjūn;loyalty to the ruler;Confucian,
loyalty;忠义;zhōngyì;loyalty and righteousness;Confucian,
loyalty;尽忠;jìnzhōng;to be completely loyal;Confucian,
loyalty;忠言逆耳;zhōngyán nì ěr;loyal words offend the ear;Confucian,
loyalty;忠告而善道之;zhōnggào ér shàn dào zhī;loyal admonition and skillful guidance;Confucian,
loyalty;为人谋而不忠乎;wèirén móu ér bù zhōng hū;in working for others / am I not loyal?;Confucian,
loyalty;臣事君以忠;chén shì jūn yǐ zhōng;minister serves ruler with loyalty;Confucian,
loyalty;主忠信;zhǔ zhōng xìn;make loyalty and trustworthiness chief;Confucian,
loyalty;忠恕之道;zhōng shù zhī dào;the way of loyalty and reciprocity;Confucian,
loyalty;忠不可弃于国;zhōng bùkě qì yú guó;loyalty cannot be abandoned in the state;Confucian,
mandate of heaven;天命;tiānmìng;Mandate of Heaven;Cross-Tradition Terms,
mandate of heaven;天命论;tiānmìng lùn;theory of the Mandate of Heaven;Confucian,
mandate of heaven;天命靡常;tiānmìng mǐ cháng;the Mandate of Heaven is not constant;Cross-Tradition Terms,
mandate of heaven;知天命;zhī tiānmìng;to know the Mandate of Heaven;Cross-Tradition Terms,
mandate of heaven;畏天命;wèi tiānmìng;to stand in awe of Heaven's Mandate;Cross-Tradition Terms,
mandate of heaven;天命有德;tiānmìng yǒu dé;Heaven mandates those with virtue;Cross-Tradition Terms,
mandate of heaven;顺天者昌，逆天者亡;shùn tiān zhě chāng, nì tiān zhě wáng;those who follow Heaven prosper / those who oppose perish;Confucian
mandate of heaven;天命不可违;tiānmìng bùkě wéi;Heaven's Mandate cannot be opposed;Cross-Tradition Terms,
mandate of heaven;奉天承运;fèng tiān chéng yùn;receiving the Mandate from Heaven;Cross-Tradition Terms,
mandate of heaven;天降大任;tiān jiàng dà rèn;Heaven confers great responsibility;Confucian,
mandate of heaven;天命所归;tiānmìng suǒ guī;where the Mandate of Heaven belongs;Cross-Tradition Terms,
rectification of names;正名;zhèngmíng;rectification of names;Confucian,
rectification of names;名不正则言不顺;míng bù zhèng zé yán bù shùn;if names are not correct / speech is not smooth;Confucian,
rectification of names;名正言顺;míng zhèng yán shùn;names correct / speech smooth;Confucian,
rectification of names;正名分;zhèng míngfèn;rectify names and status;Confucian,
rectification of names;必也正名乎;bì yě zhèng míng hū;certainly rectification of names is needed;Confucian,
rectification of names;正名定分;zhèngmíng dìngfèn;rectify names and fix status;Confucian,
rectification of names;名实相符;míng shí xiāngfú;names correspond to reality;Confucian,
rectification of names;名不副实;míng bù fù shí;name does not match reality;Confucian,
rectification of names;名副其实;míng fù qí shí;name matches reality;Confucian,
rectification of names;循名责实;xún míng zé shí;follow names and demand reality;Confucian,
rectification of names;正名以正政;zhèngmíng yǐ zhèng zhèng;rectify names to rectify government;Confucian,
rectification of names;君君臣臣父父子子;jūn jūn chén chén fù fù zǐ zǐ;ruler ruler / minister minister / father father / son son;Confucian,
reciprocity;忠恕;zhōng shù;loyalty and reciprocity;Confucian,
reciprocity;恕道;shùdào;the way of reciprocity;Confucian,
reciprocity;推己及人;tuī jǐ jí rén;extend from self to others;Confucian,
reciprocity;恕而行之;shù ér xíng zhī;act with reciprocity;Confucian,
reciprocity;能近取譬;néng jìn qǔ pì;able to take nearby analogies;Confucian,
reciprocity;恕己及人;shù jǐ jí rén;forgive self and extend to others;Confucian,
reciprocity;以恕己之心恕人;yǐ shù jǐ zhī xīn shù rén;with heart that forgives self / forgive others;Confucian,
reciprocity;己欲立而立人;jǐ yù lì ér lì rén;wishing to establish self / establish others;Confucian,
reciprocity;己欲达而达人;jǐ yù dá ér dá rén;wishing to succeed self / help others succeed;Confucian,
reciprocity;恕可为终身行之;shù kě wéi zhōngshēn xíng zhī;reciprocity can be practiced lifelong;Confucian,
